ID,TMC,Severity,Start_Time,Distance(mi),Side,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset
A-87,201.0,3,2016-02-10 18:41:44,0.01,R,Richland,OH,16.0,77.0,7.0,11.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-88,201.0,3,2016-02-11 05:32:29,0.01,R,Cuyahoga,OH,14.0,56.0,9.0,11.5,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night
A-89,201.0,3,2016-02-11 05:30:51,0.01,L,Summit,OH,14.0,74.0,4.0,10.4,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-90,201.0,2,2016-02-11 06:10:07,0.01,R,Montgomery,OH,7.0,87.0,10.0,8.1,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-91,201.0,2,2016-02-11 06:20:28,0.01,L,Clermont,OH,15.4,70.0,10.0,,Overcast,False,False,False,False,False,False,False,False,False,True,False,False,False,Night
A-92,201.0,3,2016-02-11 06:29:00,0.01,R,Cuyahoga,OH,17.1,59.0,10.0,21.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-93,201.0,2,2016-02-11 07:17:58,0.01,R,Franklin,OH,6.1,83.0,10.0,8.1,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Night
A-94,201.0,2,2016-02-11 07:18:39,0.01,R,Franklin,OH,5.0,81.0,10.0,3.5,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-95,201.0,3,2016-02-11 07:21:55,0.01,R,Summit,OH,12.0,80.0,2.0,8.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-96,201.0,2,2016-02-11 07:28:16,0.01,L,Licking,OH,7.0,77.0,10.0,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-97,201.0,3,2016-02-11 07:29:06,0.01,R,Cuyahoga,OH,15.1,51.0,10.0,18.4,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-98,201.0,2,2016-02-11 07:53:55,0.0,R,Montgomery,OH,9.0,77.0,9.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-99,201.0,2,2016-02-11 08:07:02,0.01,R,Montgomery,OH,7.5,87.0,10.0,4.6,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-100,201.0,2,2016-02-11 08:13:24,0.01,R,Montgomery,OH,7.5,87.0,10.0,4.6,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-101,201.0,2,2016-02-11 08:23:17,0.01,L,Franklin,OH,12.0,70.0,9.0,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-102,241.0,2,2016-02-11 08:34:14,0.48,R,Franklin,OH,12.0,77.0,10.0,6.9,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-103,201.0,3,2016-02-11 08:29:21,0.01,R,Cuyahoga,OH,18.0,54.0,10.0,25.3,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-104,201.0,2,2016-02-11 09:16:13,0.0,R,Montgomery,OH,12.0,73.0,10.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-105,201.0,2,2016-02-11 09:16:13,0.0,R,Montgomery,OH,10.9,77.0,10.0,6.9,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-106,201.0,2,2016-02-11 09:31:23,0.01,R,Montgomery,OH,13.6,74.0,10.0,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-107,241.0,3,2016-02-11 09:37:31,0.01,R,Franklin,OH,10.4,78.0,10.0,4.6,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day
A-108,201.0,2,2016-02-11 09:46:39,0.01,R,Montgomery,OH,13.6,74.0,10.0,3.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-109,201.0,2,2016-02-11 10:48:29,0.0,R,Montgomery,OH,18.0,68.0,10.0,10.4,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-110,201.0,2,2016-02-11 10:53:56,0.0,L,Montgomery,OH,18.0,54.0,10.0,6.9,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-111,201.0,2,2016-02-11 11:21:42,0.01,R,Montgomery,OH,18.5,62.0,10.0,9.2,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day
A-112,201.0,2,2016-02-11 12:24:45,0.01,L,Montgomery,OH,19.9,65.0,10.0,9.2,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-113,201.0,2,2016-02-11 12:24:18,0.01,L,Montgomery,OH,19.9,65.0,10.0,9.2,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-114,201.0,2,2016-02-11 13:44:46,0.01,L,Montgomery,OH,21.6,49.0,10.0,6.9,Mostly Cloudy,True,False,False,False,False,False,False,False,False,False,False,True,False,Day
A-115,201.0,2,2016-02-11 14:16:49,0.01,L,Montgomery,OH,21.6,49.0,10.0,6.9,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-116,201.0,2,2016-02-11 15:34:06,0.0,L,Montgomery,OH,21.0,57.0,10.0,4.6,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-117,201.0,2,2016-02-11 16:34:27,0.01,R,Montgomery,OH,21.0,57.0,10.0,8.1,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day
A-118,201.0,3,2016-02-11 17:10:00,0.01,R,Montgomery,OH,21.0,57.0,10.0,8.1,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-119,201.0,2,2016-02-11 18:27:00,0.01,R,Montgomery,OH,21.0,51.0,10.0,8.1,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-120,201.0,3,2016-02-11 19:11:00,0.01,R,Franklin,OH,19.0,57.0,9.0,,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-121,201.0,3,2016-02-11 19:22:00,0.01,R,Franklin,OH,17.1,62.0,10.0,3.5,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-122,201.0,3,2016-02-11 20:48:00,0.01,R,Montgomery,OH,17.1,68.0,10.0,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-123,201.0,2,2016-02-12 16:16:51,0.0,L,Montgomery,OH,26.6,59.0,10.0,16.1,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Day
A-124,201.0,2,2016-02-12 16:42:52,0.01,R,Montgomery,OH,25.5,66.0,7.0,16.1,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-125,246.0,3,2016-02-12 17:47:41,1.67,R,Franklin,OH,23.0,80.0,3.0,12.7,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Day
A-126,201.0,3,2016-02-12 20:04:00,0.94,R,Franklin,OH,19.0,71.0,5.0,24.2,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-127,201.0,3,2016-02-12 20:12:00,0.94,R,Franklin,OH,19.0,71.0,5.0,24.2,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night
A-128,201.0,3,2016-02-12 20:41:00,2.79,R,Franklin,OH,19.9,62.0,10.0,23.0,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-129,201.0,3,2016-02-12 23:48:00,0.01,R,Franklin,OH,16.0,68.0,10.0,13.8,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-130,201.0,3,2016-02-13 11:05:00,0.01,R,Franklin,OH,10.0,44.0,10.0,11.5,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-131,201.0,3,2016-02-13 11:05:21,0.01,R,Medina,OH,8.1,61.0,10.0,13.8,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-132,201.0,2,2016-02-13 11:17:01,0.01,L,Richland,OH,7.0,58.0,10.0,11.5,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-133,201.0,3,2016-02-13 11:25:42,0.01,R,Miami,OH,10.9,51.0,10.0,9.2,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-134,241.0,3,2016-02-13 12:56:31,0.01,R,Franklin,OH,12.9,43.0,10.0,16.1,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day
A-135,201.0,3,2016-02-13 12:55:47,0.01,R,Franklin,OH,12.9,43.0,10.0,16.1,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-136,201.0,3,2016-02-14 10:13:00,0.01,R,Franklin,OH,10.0,70.0,10.0,5.8,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-137,201.0,3,2016-02-14 10:49:23,0.01,R,Franklin,OH,12.9,65.0,10.0,10.4,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-138,241.0,3,2016-02-14 10:41:57,0.01,R,Franklin,OH,12.9,65.0,10.0,10.4,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day
A-139,201.0,3,2016-02-14 18:15:23,0.01,R,Franklin,OH,15.8,79.0,0.5,10.4,Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night
A-140,241.0,3,2016-02-14 19:17:01,0.01,R,Franklin,OH,17.6,86.0,1.0,,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
A-141,201.0,2,2016-02-15 04:53:47,0.01,R,Clinton,OH,23.0,96.0,2.5,8.1,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night
