name,max_supply,href
joulecoin,NIF,https://www.coingecko.com/en/coins/joulecoin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
civilization,300000000.0,https://www.coingecko.com/en/coins/civilization/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
absolute,NIF,https://www.coingecko.com/en/coins/absolute/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
peakdefi,NIF,https://www.coingecko.com/en/coins/peakdefi/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
sucrecoin,NIF,https://www.coingecko.com/en/coins/sucrecoin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
keep3rv1,264076.0,https://www.coingecko.com/en/coins/keep3rv1/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
bomb,NIF,https://www.coingecko.com/en/coins/bomb/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
casper-network,NIF,https://www.coingecko.com/en/coins/casper-network/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
keep-network,1000000000.0,https://www.coingecko.com/en/coins/keep-network/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
option-room,NIF,https://www.coingecko.com/en/coins/option-room/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
alpha-quark-token,NIF,https://www.coingecko.com/en/coins/alpha-quark-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
dfohub,NIF,https://www.coingecko.com/en/coins/dfohub/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
sensitrust,NIF,https://www.coingecko.com/en/coins/sensitrust/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
arionum,NIF,https://www.coingecko.com/en/coins/arionum/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
xtoken,1000000000.0,https://www.coingecko.com/en/coins/xtoken/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
liquity,100000000.0,https://www.coingecko.com/en/coins/liquity/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
toshimon,100000.0,https://www.coingecko.com/en/coins/toshimon/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
reflect-finance,NIF,https://www.coingecko.com/en/coins/reflect-finance/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
