,1.Video Name,2.Streamer,3.Release Time,4.View Times,5.Link
111,8亿拿下LOL全球总决赛独播权！B站的野心有多大！【X博士奇谈】,游戏X博士,2020-01-11,29.7万,//www.bilibili.com/video/av82990595?from=search
112,当僵尸博士脚踩土豆雷会发生什么,我就是那个知名UP主,2019-11-22,19.6万,//www.bilibili.com/video/av76611733?from=search
113,它是吃鸡游戏的鼻祖，魔兽世界的启蒙！却被玩家遗忘！【X博士奇谈】,游戏X博士,2019-09-12,18.6万,//www.bilibili.com/video/av67465397?from=search
114,【明日方舟】干员们与博士的日常#3,九笙琴丶,2019-07-29,50.5万,//www.bilibili.com/video/av61285579?from=search
115,震惊，某博士竟然在漫展上突发白色光敏性癫痫,开不动的飞机,2019-07-28,31.4万,//www.bilibili.com/video/av61071006?from=search
116,浙江专家谈新型肺炎：有病人不承认武汉回来 1博士下飞机直奔医院,班里课代表,2020-01-25,3350,//www.bilibili.com/video/av85015114?from=search
117,【明日方舟手书】博士集合干员的力量，变身崇皇博士,光辉光棱,2020-01-21,3.9万,//www.bilibili.com/video/av84465989?from=search
118,【明日方舟】【医疗部全员】基建996下班快乐，博士再见！（cos视频）（正片预告）,单位圆,2020-01-06,4.7万,//www.bilibili.com/video/av82304078?from=search
119,【明日方舟】博士：每天早上必须来一段安塞腰鼓！,戴假发的兔子,2019-08-04,5.0万,//www.bilibili.com/video/av62178272?from=search
120,【RCVOx灯泡】一个喜欢讲龙门粗口的博士拍的一场附碌戏,RCVO粤语配音组,2019-07-19,67.1万,//www.bilibili.com/video/av59769526?from=search
121,【竹笛】爆燃！孟晓洁博士上央视吹奏《权御天下》,superzkkk,2019-06-11,114.5万,//www.bilibili.com/video/av55283653?from=search
122,我竟被国防大学博士抄袭视频！说好删除，竟公然反悔！【心灵侦探】,心灵侦探明柏辰,2019-11-23,125.2万,//www.bilibili.com/video/av76665915?from=search
123,国产游戏用钞能力逆袭了日本？3个月狂赚27亿！【X博士奇谈】,游戏X博士,2019-09-25,87.4万,//www.bilibili.com/video/av68915576?from=search
124,满屏雪人僵尸对战僵王博士,凛柚君,2019-08-19,26.5万,//www.bilibili.com/video/av64457440?from=search
125,如果僵王博士出现在保龄球模式会发生什么,冰洁菌,2019-07-08,27.4万,//www.bilibili.com/video/av58326821?from=search
126,【朱一旦】111 招了一名文学系博士，来给我写赞美诗,朱一旦的枯燥生活,2019-11-25,259.6万,//www.bilibili.com/video/av77009888?from=search
127,史上最严防沉迷系统出台！腾讯都被逼疯了？【X博士快评】,游戏X博士,2019-11-08,124.3万,//www.bilibili.com/video/av74973390?from=search
128,博士可不是氪金机器啊【明日方舟】,水无月菌,2019-09-10,55.0万,//www.bilibili.com/video/av67276191?from=search
129,我竟然用冰川菇冻死了僵王博士,凛柚君,2019-08-21,22.5万,//www.bilibili.com/video/av64759378?from=search
130,明日方舟沙雕相声第四期；博士要开房！,哈米伦的弄笛者,2019-08-14,50.7万,//www.bilibili.com/video/av63617774?from=search
