,Name,Adj.Vol(24h),Volume(24h),Volume(7d),Volume(30d),No.Markets,Change(24h)
145,CEX.IO,"$3,679,266","$3,679,266","$49,810,922","$138,561,944",77,-33.23%
146,Luno,"$3,661,921","$3,661,921","$45,113,816","$136,404,105",6,-38.27%
147,Cashierest,"$3,479,398","$3,479,398","$14,835,378","$53,806,837",27,17.16%
148,Bitkub,"$3,249,435","$3,249,435","$43,575,783","$135,792,798",30,-51.60%
149,Virtuse Exchange,"$3,208,304","$3,208,304","$14,448,465","$23,912,305",15,24.61%
150,BITStorage,"$2,967,152","$2,967,152","$15,254,834","$67,002,428",15,26.16%
151,BTC Markets,"$2,838,662","$2,838,662","$44,956,108","$158,376,064",26,-63.93%
152,itBit,"$2,759,550","$2,759,550","$38,682,208","$138,753,545",2,-59.57%
153,Korbit,"$2,744,623","$2,744,623","$34,082,079","$113,917,176",25,-37.64%
154,Crex24,"$2,724,646","$2,724,646","$19,025,160","$99,841,474",370,-16.81%
155,Bitbns,"$2,281,587","$2,281,587","$18,918,465","$72,127,701",84,-18.76%
156,WazirX,"$2,167,565","$2,167,565","$28,613,669","$98,873,015",117,-35.79%
157,BITEXLIVE,"$2,152,472","$2,152,472","$15,036,591","$23,960,906",22,-15.06%
158,StormGain,"$2,041,022","$2,041,022","$8,758,581","$24,521,910",5,91.80%
159,CoinDCX,"$1,995,315","$1,995,315","$19,181,034","$43,680,650",25,-42.82%
160,Polyx,"$1,649,443","$1,649,443","$11,334,088","$63,145,343",17,2.60%
161,Tidex,"$1,433,503","$1,433,503","$10,661,598","$55,490,442",25,-19.79%
162,Lukki Exchange,"$1,415,864","$1,415,864","$5,316,444","$24,017,345",22,18.36%
163,C2CX,"$1,396,736","$1,396,736","$34,745,095","$101,646,332",35,-14.17%
164,OKEx Korea,"$1,389,021","$1,389,021","$13,214,316","$59,722,861",199,-23.48%
165,Thodex,"$1,285,430","$1,285,430","$12,993,910","$43,897,342",18,-38.51%
166,Tokens.net,"$1,036,231","$1,036,231","$7,213,312","$30,360,190",23,-12.77%
167,Mercado Bitcoin,"$1,005,634","$1,005,634","$24,653,661","$71,948,388",5,-47.09%
168,Bitci,"$953,281","$953,281","$3,300,472","$14,499,780",28,67.48%
169,Zebpay,"$934,505","$934,505","$15,521,037","$34,837,517",21,-51.15%
170,IDEX,"$862,119","$862,119","$6,318,658","$20,731,427",383,-1.97%
171,BtcTrade.im,"$824,668","$824,668","$8,719,711","$44,555,376",10,9.29%
172,Independent Reserve,"$774,605","$774,605","$12,588,471","$39,018,403",26,-47.91%
173,Zaif,"$728,038","$8,563,826","$84,874,937","$272,567,775",11,-34.25%
174,ViteX,"$722,038","$722,038","$4,425,464","$23,402,042",33,-6.26%
175,Waves Exchange,"$718,826","$718,826","$5,908,140","$16,615,584",29,-0.66%
176,Huobi Indonesia,"$700,213","$700,213","$7,167,954","$43,940,550",41,-11.20%
177,Huobi Thailand,"$678,343","$678,343","$3,065,614","$14,421,409",7,-0.75%
178,CryptalDash,"$657,677","$657,677","$845,762","$872,990",17,236.56%
179,Coinzo,"$650,385","$650,385","$3,969,377","$17,194,690",14,-5.25%
180,Binance Jersey,"$575,574","$575,574","$5,132,421","$15,715,814",10,-15.21%
181,VINEX Network,"$568,089","$568,089","$3,434,757","$12,974,226",49,23.03%
